birthweight
3033
3147
3175
3005
2863
2665
3544
4000
3300
3969
3175
3883
3005
3543
3530
3260
3600
3799
3345
2360
3969
2600
4167
3459
4111
2353
2892
2270
3850
3799
3459
3742
2608
2722
2892
3317
3175
3345
3997
3515
2580
2948
4250
2776
3487
3203
3000
3295
3997
2925
3515
1887
3062
2805
3535
3416
2863
3075
3345
3430
3810
4252
3175
3139
2589
3669
3827
3239
3742
3827
3969
3990
3529
1219
3907
2784
2186
3147
3175
3459
3675
3498
3657
3033
3118
3465
3183
4706
3235
2977
3289
3191
3062
3180
3148
3005
3572
3523
3824
3790
4026
2627
3629
4139
4065
4848
3402
3487
2541
3260
3508
4082
3700
3960
3629
2438
3485
3204
3267
3374
3010
2977
3799
3175
3712
2863
3033
3430
3572
3232
3137
3392
2995
3810
4167
3246
3445
2767
3033
2880
3455
2562
3487
3487
3200
3544
3118
3827
3629
3875
3090
3589
3830
4026
3884
3010
3095
3422
4009
2892
3145
2870
3436
4281
4070
3595
3402
4111
1966
4791
3820
1984
2890
3459
3285
3856
3402
3131
3374
3520
2551
3415
3770
3352
3710
3232
2740
3220
3430
2920
3941
3799
3459
3062
3253
3289
3345
3544
4054
3232
3884
3487
964
3827
2608
3997
3941
2381
3345
1729
3941
3445
4376
4870
3840
3856
3742
3218
2636
3316
3713
3402
3900
3458
2863
2948
730
2608
2685
3118
2920
3147
3345
3714
3345
3997
3088
3884
2665
2807
3714
2722
3402
3090
2863
3884
2892
2098
3537
3289
3090
2835
3969
3487
3629
3005
2665
3629
3005
2637
3232
3572
3345
2551
3175
3459
2778
2460
3530
3600
3232
4054
3345
3742
3175
3119
3147
3742
3033
3005
4139
4167
3856
4054
2863
3402
2240
3230
3459
1786
4536
3997
1843
1365
3742
4054
3600
3285
2626
4026
3686
3884
3714
3870
3090
3969
2013
3374
3090
5103
2977
3204
3430
2977
3245
3306
2883
2690
3430
3374
3147
3390
3856
3374
4070
3657
3995
3402
2777
3544
3714
3204
3600
3686
1588
3997
3119
2750
3161
3742
2892
2920
1956
3686
3969
2920
3260
2240
3240
3771
3657
3260
4649
3541
4509
3742
3160
4111
3175
2892
4054
3260
3310
3905
2070
3119
3155
3997
3390
2807
2835
2778
3544
3546
3289
3317
3374
3629
3629
3260
3430
2835
2835
3600
3600
2693
2863
3515
3475
936
3714
4451
3230
3345
3657
3147
3320
3492
3075
3742
3402
3487
3508
3912
3520
4000
2565
2885
3827
3317
3317
3090
2750
3260
2977
3260
4423
595
2070
3487
3912
2807
4139
935
1899
1134
3941
3175
3374
3827
3458
3685
3572
3061
850
3374
2551
2977
3175
3289
3317
2932
3459
3459
3260
3459
4062
2211
2551
1910
3713
3031
3884
2977
3345
3260
3572
2965
3544
3912
3203
4678
3430
3260
3289
3090
3629
3218
3203
3645
3270
4026
4479
3118
3062
3515
3938
1106
3544
4480
3204
4090
2892
4720
4210
3062
2835
3544
4309
3884
2637
3125
2977
3515
3714
3572
4252
5500
3260
2110
3487
3714
4082
4167
3459
4423
3799
3969
2722
2807
4167
2296
2381
3147
2948
3175
2325
3799
3799
4338
3260
2948
3856
3285
3827
3459
3686
3204
3572
3289
3175
3204
2892
2892
2495
4026
3232
3572
3600
3912
2753
4026
3856
3459
4026
2530
3572
3289
2505
3317
3884
3629
907
3686
4111
4536
3799
2920
3572
3572
3686
3600
3572
3884
2892
3657
4026
4196
3090
3827
4820
2098
2155
3374
3345
3204
3742
4253
3856
2977
2600
3455
2965
3100
4082
2750
3370
3345
2046
2930
3450
3940
3470
3230
2850
3673
3707
3025
3920
3620
3903
3680
3090
4085
3140
3263
3274
3738
2938
2744
3240
2603
3457
1954
2006
4610
3345
3837
3394
3543
3880
2745
3401
2980
3095
4045
3705
3090
2976
3359
3545
3770
3698
2756
3349
2920
3316
3375
3146
1700
3685
3147
3211
3685
3798
2438
3997
3118
4110
2465
3543
3146
3118
3900
3605
3062
2977
2364
3905
3315
2645
3062
3540
2835
3714
3530
3118
2775
3180
4010
3402
3374
3232
3060
2926
3015
3585
2820
3118
3005
3050
3969
2750
4070
3520
3912
3402
3119
3260
3430
3232
3374
3147
4054
992
2920
3827
2013
2750
3572
4139
3856
2665
3005
2977
3204
3487
3941
3629
4167
3714
3402
3005
3147
3175
3147
3884
2693
3120
2874
4130
4000
3270
2511
3433
3800
3640
3977
3451
2877
4260
2698
3035
5000
3325
2846
3239
3165
2460
3230
3655
2665
3430
2958
4095
4260
3784
2741
1943
3105
2608
2722
3912
3090
3459
3062
3402
2807
3175
3827
3458
3787
3289
2295
2608
4082
3657
3458
3368
3118
3657
650
3615
2240
3997
2948
1733
3317
2552
3600
2805
3345
4394
3000
3626
3345
4621
3430
2835
3431
3459
1758
3742
2325
2070
3033
2070
3807
3860
2835
3317
2892
3033
3005
3119
778
3600
3544
3771
3033
3515
3629
2608
3402
3686
3289
3317
4196
3969
3714
1758
3629
3119
2778
3345
3515
3487
2892
3033
3204
2750
3033
2296
3023
4479
3742
4167
3005
2977
4100
3033
2920
4054
2863
3459
3260
3969
2353
1340
3062
3799
3585
2920
4082
3289
3147
3204
3544
3600
2835
3827
4253
2807
4508
3260
2013
3119
3232
3620
2835
3119
2977
2807
765
3090
3912
3289
2977
3402
3005
4366
3402
3686
4338
1956
3600
3175
4139
3657
4259
3345
3175
2778
2948
3600
2948
3714
3175
3742
3912
3300
3289
3629
2977
3175
2880
3912
4111
3033
4111
3572
3515
2945
4054
3374
3632
3178
4175
3289
3770
3791
3370
3499
3742
3633
1736
3234
1985
1262
3781
3760
3430
3728
3445
3090
2892
3229
4115
3657
3600
3640
3477
4048
4224
3410
3369
3375
2834
3383
3147
3629
3052
2899
3015
3147
3680
3622
3884
3884
3487
3289
3420
3799
3459
4054
3215
3969
2367
3969
3884
3941
4054
3500
3430
3515
3005
2183
2495
2977
1559
3307
2523
2778
3949
1219
3175
3600
3629
3714
4420
4253
3204
3629
3657
3535
3289
3544
3175
3600
4065
