Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
491,D.J. Wilson\wilsodj01,PF,22,MIL,28,0,520,62,141,0.44,27,71,0.38,35,70,0.5,0.535,11,28,0.393,25,103,128,28,12,18,17,55,162
492,Justise Winslow\winslju01,PF,22,MIA,50,37,1483,237,562,0.422,72,194,0.371,165,368,0.448,0.486,73,113,0.646,51,216,267,205,48,15,109,127,619
493,Christian Wood\woodch01,PF,23,MIL,11,0,52,10,22,0.455,2,4,0.5,8,18,0.444,0.5,10,13,0.769,4,14,18,2,0,0,2,2,32
494,Delon Wright\wrighde01,PG,26,TOT,51,3,955,132,309,0.427,30,96,0.313,102,213,0.479,0.476,54,63,0.857,39,95,134,118,48,16,40,57,348
495,Guerschon Yabusele\yabusgu01,PF,23,BOS,29,0,164,21,47,0.447,4,17,0.235,17,30,0.567,0.489,9,12,0.75,15,18,33,12,7,7,11,27,55
496,Nick Young\youngni01,SG,33,DEN,4,0,37,3,9,0.333,3,8,0.375,0,1,0,0.5,0,0,,0,1,1,2,0,1,2,4,9
497,Thaddeus Young\youngth01,PF,30,IND,57,57,1714,315,589,0.535,30,85,0.353,285,504,0.565,0.56,59,95,0.621,137,226,363,126,89,25,74,132,719
498,Trae Young\youngtr01,PG,20,ATL,57,57,1712,331,812,0.408,99,315,0.314,232,497,0.467,0.469,203,254,0.799,37,150,187,431,49,13,226,95,964
499,Cody Zeller\zelleco01,C,26,CHO,39,37,965,143,255,0.561,5,18,0.278,138,237,0.582,0.571,79,100,0.79,89,170,259,82,28,31,49,125,370
500,Ante Zizic\zizican01,C,22,CLE,40,11,641,107,205,0.522,0,0,,107,205,0.522,0.522,56,77,0.727,64,137,201,26,9,15,33,69,270
501,Ivica Zubac\zubaciv01,C,21,TOT,35,14,554,118,205,0.576,0,0,,118,205,0.576,0.576,60,71,0.845,55,117,172,26,4,30,39,79,296
