YYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM,Log10 MAG,Time (seconds),Day,Seconds from start,Lag,Waiting time (minutes),Time of occurrence (minutes),Count,Exponential Density Waiting time (minutes)
2014/01/06,11:34:16.27 PM,le,1.39,l,32.897,-116.258,6.9,A,11410954,44,0,0.1430148003,5091376.2,6,31011376.2,30998724.6,3.5143333333,8614.2711667,33,0.0240755414
2014/01/07,1:12:15.33 AM,le,0.81,l,33.487,-116.538,7,A,11410970,53,0,-0.091514981,260119.8,7,31364119.8,31172013,53.363,8712.2555,34,0.0064514522
2014/01/07,1:44:36.23 PM,le,0.33,l,36.107,-117.884,3.4,B,11411186,12,0,-0.48148606,2968573.8,7,34072573.8,33732852.6,94.367,9464.6038333,35,0.0021838088
2014/01/07,8:41:16.84 PM,qb,0.92,l,33.84,-117.493,0,C,11411314,34,0,-0.036212173,4468610.4,7,35572610.4,35410572,45.010666667,9881.2806667,36,0.0080442324
2014/01/07,11:35:25.62 PM,le,0.8,l,33.986,-117.184,19.9,A,11411402,31,0,-0.096910013,5095537.2,7,36199537.2,36008178.6,53.155166667,10055.427,37,0.0064869712
2014/01/08,12:33:29.37 AM,le,1.26,l,33.355,-116.231,11.1,A,11411418,65,0,0.1003705451,120562.2,8,36408562.2,36232089,49.020333333,10113.4895,38,0.0072357127
2014/01/08,3:13:34.89 AM,le,0.28,l,33.624,-116.688,16.2,A,11411482,17,0,-0.552841969,696893.4,8,36984893.4,36983890.2,0.2786666667,10273.5815,39,0.0262240147
2014/01/08,5:33:43.88 AM,le,2.36,l,33.979,-118.453,11.2,A,11411490,109,0,0.372912003,1201432.8,8,37489432.8,36984893.4,140.14983333,10413.731333,40,0.000651544
2014/01/08,11:13:13.06 AM,le,0.43,l,36.02,-117.894,6.9,A,11411594,14,0,-0.366531544,2423583.6,8,38711583.6,38484913.8,62.963833333,10753.217667,41,0.0050061769
2014/01/08,12:49:32.38 PM,le,0.45,l,35.665,-118.458,10,A,11411618,10,0,-0.346787486,2770342.8,8,39058342.8,38937009,33.703833333,10849.539667,42,0.0108444868
2014/01/08,1:17:35.37 PM,le,1.05,l,35.507,-118.333,9.8,A,11411626,27,0,0.0211892991,2871322.2,8,39159322.2,39058342.8,28.049833333,10877.5895,43,0.0125915123
2014/01/08,6:27:37.12 PM,le,0.38,l,36.229,-117.919,5.1,C,11411730,13,0,-0.420216403,3987427.2,8,40275427.2,40110036.6,45.941833333,11187.618667,44,0.0078487635
2014/01/08,8:08:44.28 PM,le,0.07,l,33.666,-116.733,15.3,A,11411778,31,0,-1.15490196,4351456.8,8,40639456.8,40590323.4,13.648166667,11288.738,45,0.0184208477
2014/01/08,11:58:54.94 PM,le,1.24,l,32.653,-115.734,7,C,11411906,19,0,0.0934216852,5180096.4,8,41468096.4,41426476.8,11.561,11518.915667,46,0.0194650658
2014/01/09,2:22:33.87 AM,le,0.6,h,33.154,-115.637,4.9,A,11411922,13,0,-0.22184875,513232.2,9,41985232.2,41964999,5.6203333333,11662.5645,47,0.0227726578
2014/01/09,7:21:03.41 AM,le,1.05,l,33.348,-116.254,12.6,A,11411994,68,0,0.0211892991,1587804.6,9,43059804.6,43038120,6.0235,11961.056833,48,0.0225313986
2014/01/09,11:48:27.57 AM,le,1.46,l,35.364,-118.654,10.7,B,11412082,13,0,0.1643528558,2550454.2,9,44022454.2,43865512.2,43.595,12228.4595,49,0.0083507732
2014/01/09,5:53:34.08 PM,le,1.19,l,33.988,-116.992,17.4,A,11412202,39,0,0.0755469614,3864844.8,9,45336844.8,45305336.4,8.7523333333,12593.568,50,0.0209642814
2014/01/09,6:10:49.98 PM,le,0.83,l,36.039,-117.857,2.6,A,11412218,19,0,-0.080921908,3926998.8,9,45398998.8,45352710,12.858,12610.833,51,0.0188094142
2014/01/10,1:17:30.50 AM,le,0.82,l,36.015,-117.888,6.4,A,11412330,14,0,-0.086186148,279030,10,46935030,46836488.4,27.372666667,13037.508333,52,0.0128187918
2014/01/10,1:19:57.68 AM,le,1.13,l,35.661,-118.466,10.1,A,11412322,27,0,0.0530784435,287860.8,10,46943860.8,46938926.4,1.3706666667,13039.961333,53,0.0254783065
2014/01/10,11:03:51.74 AM,le,0.64,l,35.969,-117.653,3.9,A,11412490,15,0,-0.193820026,2389904.4,10,49045904.4,48943012.8,28.581,13623.862333,54,0.012416059
2014/01/10,12:05:34.66 PM,le,0.95,l,34.152,-117.425,13.1,A,11412522,40,0,-0.022276395,2612079.6,10,49268079.6,49172008.8,26.686333333,13685.577667,55,0.0130533343
2014/01/10,3:05:19.72 PM,le,0.4,h,33.131,-115.709,6.6,C,11412562,12,0,-0.397940009,3259183.2,10,49915183.2,49537786.2,104.8325,13865.328667,56,0.001656315
2014/01/10,3:57:03.59 PM,le,1.24,l,34.383,-117.653,9.8,A,11412578,42,0,0.0934216852,3445415.4,10,50101415.4,50079568.8,6.0685,13917.059833,57,0.0225046291
2014/01/10,4:29:18.02 PM,qb,1.37,l,34.34,-116.888,0,C,11412602,45,0,0.1367205672,3561481.2,10,50217481.2,50164299,14.772833333,13949.300333,58,0.0178815928
2014/01/10,4:47:41.46 PM,le,2.54,l,32.254,-115.229,10,C,11412626,39,0,0.4048337166,3627687.6,10,50283687.6,50249122.2,9.6015,13967.691,59,0.0204992234
2014/01/10,4:52:22.71 PM,le,1.15,l,33.15,-115.645,1.4,A,11412634,17,0,0.0606978404,3644562.6,10,50300562.6,50283687.6,4.6875,13972.3785,60,0.0233408253
2014/01/11,4:06:02.59 PM,le,1.54,l,33.706,-116.73,20.5,A,11412970,81,0,0.1875207208,3477755.4,11,55317755.4,55049194.2,74.600333333,15366.043167,61,0.0036812855
2014/01/11,5:43:16.40 PM,le,0.91,l,33.71,-116.727,20.7,A,11412994,48,0,-0.040958608,3827784,11,55667784,55383310.8,79.020333333,15463.273333,62,0.0032755815
2014/01/11,9:27:59.57 PM,le,2.37,l,33.185,-115.567,1.7,A,11413034,40,0,0.374748346,4636774.2,11,56476774.2,56473686.6,0.8576666667,15687.992833,63,0.025825947
2014/01/12,12:31:15.44 AM,le,0.53,l,33.631,-116.697,14.5,A,11413074,38,0,-0.27572413,112526.4,12,57136526.4,57129736.2,1.8861666667,15871.257333,64,0.0251336855
2014/01/12,1:12:03.41 AM,le,2.15,l,32.781,-117.263,9.8,A,11413082,77,0,0.3324384599,259404.6,12,57283404.6,57136526.4,40.7995,15912.056833,65,0.0089908289
2014/01/12,12:24:47.67 PM,le,0.55,l,33.485,-116.462,14.2,A,11413170,41,0,-0.259637311,2681260.2,12,59705260.2,59040805.2,184.57083333,16584.7945,66,0.0002015103
